"","item","group1","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"USE*1","1","NonOil",1,83,1,0,1,1,0,1,1,0,NA,NA,0
"USE*2","2","Oil",1,134,2,0,2,2,0,2,2,0,NA,NA,0
"USE*3","3","UNK",1,69,3,0,3,3,0,3,3,0,NA,NA,0
"PeakAreas_RTX1.21","4","NonOil",2,83,3.19621561955422,2.24718656690279,3.38736105,3.06168754070149,2.1692655183822,0,9.327048302,9.327048302,0.379547742626916,-0.2010588011417,0.246660770574858
"PeakAreas_RTX1.22","5","Oil",2,134,2.88067913902985,2.03613418644601,2.837769508,2.72719843905556,1.6278218798016,0,11.34133101,11.34133101,0.819430485886455,1.54901257793123,0.17589520339175
"PeakAreas_RTX1.23","6","UNK",2,69,2.58705459733333,1.82609741155371,2.436150551,2.46715229336842,1.7407230188166,0,7.376227379,7.376227379,0.466875538389951,-0.148910268537795,0.219836294707608
"PeakAreas_RTX1.291","7","NonOil",3,83,1.13677712231325,2.38151262187545,0,0.560683958567164,0,0,11.25999069,11.25999069,2.1175373404263,3.96448391951727,0.261404970596266
"PeakAreas_RTX1.292","8","Oil",3,134,0.698211922544775,1.95079684716249,0,0.185578037203703,0,0,12.65419292,12.65419292,3.6226021250833,14.9818109405854,0.168523180098734
"PeakAreas_RTX1.293","9","UNK",3,69,0.450878806739131,1.18712652083029,0,0.148045711350877,0,0,4.191209316,4.191209316,2.24909966706455,3.28646258488422,0.142913238930896
"PeakAreas_RTX1.411","10","NonOil",4,83,0.548338184144578,1.36099265335704,0,0.17404938722388,0,0,5.612618923,5.612618923,2.3241495960066,4.1921605278742,0.149388351447141
"PeakAreas_RTX1.412","11","Oil",4,134,0.48835647908209,1.2487447058492,0,0.150811218574074,0,0,7.197508335,7.197508335,2.96096406993357,9.40917511276852,0.1078751122995
"PeakAreas_RTX1.413","12","UNK",4,69,0.329820263681159,0.859597552550069,0,0.110157498684211,0,0,3.564504385,3.564504385,2.48340564364851,5.09638666555642,0.103483384674179
"PeakAreas_RTX1.491","13","NonOil",5,83,2.63147744712048,2.53899488761329,2.335752786,2.3626628269403,3.4629870805236,0,10.00266933,10.00266933,0.587948281119988,-0.520773558415477,0.27869089495648
"PeakAreas_RTX1.492","14","Oil",5,134,2.48658585149254,2.42747766514478,2.499891043,2.24886849139815,3.7063384603518,0,14.10738087,14.10738087,1.22044653097651,3.26985215938231,0.209702130872253
"PeakAreas_RTX1.493","15","UNK",5,69,1.73857571771015,1.79281260555317,1.887340188,1.55284746491228,2.7981705627288,0,7.356571198,7.356571198,0.661308950681511,-0.249539656137721,0.215829274942439
"PeakAreas_RTX1.581","16","NonOil",6,83,1.3279634750241,2.36657424697418,0,0.805532543537313,0,0,9.71511364,9.71511364,1.80807091222381,2.66385953040945,0.25976527092978
"PeakAreas_RTX1.582","17","Oil",6,134,1.23189700892537,2.37036812328713,0,0.693601290361112,0,0,12.12324715,12.12324715,2.0301946699268,4.07922821349173,0.204768617871229
"PeakAreas_RTX1.583","18","UNK",6,69,0.74692044742029,1.64276254047778,0,0.345073934157895,0,0,7.065059662,7.065059662,2.18439190792219,3.85095926097007,0.197765369852763
"PeakAreas_RTX1.681","19","NonOil",7,83,0.050909496216867,0.463807583831468,0,0,0,0,4.225488186,4.225488186,8.7837857211027,76.0718536797802,0.050909496216867
"PeakAreas_RTX1.682","20","Oil",7,134,0.059844909320895,0.451062539452677,0,0,0,0,4.679163218,4.679163218,8.71834312652017,81.6970803817904,0.038965868579571
"PeakAreas_RTX1.683","21","UNK",7,69,0.113615402275362,0.94376041173556,0,0,0,0,7.839462757,7.839462757,7.94895574867776,62.0863264020166,0.113615402275362
"PeakAreas_RTX1.831","22","NonOil",8,83,2.87328523609638,7.41942384667259,0,1.34943469247761,0,0,58.11749649,58.11749649,5.32493330336818,34.8757967633456,0.814387568079878
"PeakAreas_RTX1.832","23","Oil",8,134,4.10166434123134,4.99538138580853,2.5089671615,3.33785818791667,3.7197947136399,0,26.60442352,26.60442352,1.26552005042623,1.9227064589839,0.431535225293685
"PeakAreas_RTX1.833","24","UNK",8,69,4.13106044323188,5.95241573900957,3.385257483,2.950153629,5.0189827442958,0,35.47498322,35.47498322,2.96796588526986,11.0977515802156,0.716586646661827
"PeakAreas_RTX1.881","25","NonOil",9,83,4.25417825840964,5.47204053612089,3.192776442,3.16252452758209,4.7336103529092,0,21.19376373,21.19376373,1.43345877674211,1.27509914836667,0.600634480080898
"PeakAreas_RTX1.882","26","Oil",9,134,3.84363246138806,5.94357715682496,0,2.51040074338889,0,0,27.03699112,27.03699112,1.9116703737302,3.3351040428732,0.513446864078772
"PeakAreas_RTX1.883","27","UNK",9,69,2.61002977594203,4.95631052436837,0,1.5986873925614,0,0,26.67538261,26.67538261,2.99593422487166,10.5296192877484,0.596669670634063
"PeakAreas_RTX1.991","28","NonOil",10,83,6.15733456314458,11.0662536167049,0,3.60599255195522,0,0,67.12391663,67.12391663,2.87919133296533,10.4785098490583,1.21467913909585
"PeakAreas_RTX1.992","29","Oil",10,134,2.35276817752239,6.5015769673181,0,0.668108306555556,0,0,38.94455719,38.94455719,3.80334886032736,15.0514938682707,0.561650705855312
"PeakAreas_RTX1.993","30","UNK",10,69,2.14729055968116,5.46636892543927,0,0.982841163350878,0,0,36.05853271,36.05853271,4.15832540607401,20.5170232302873,0.658073486370546
"PeakAreas_RTX2.081","31","NonOil",11,83,0.799985127289157,2.68739604189327,0,0.092879665432836,0,0,18.39168167,18.39168167,4.4075307149396,22.3824416702168,0.294980037837638
"PeakAreas_RTX2.082","32","Oil",11,134,1.26807878003731,5.149251170551,0,0.159672438009259,0,0,50.35064316,50.35064316,7.21207512615342,61.3668984509759,0.444827550162687
"PeakAreas_RTX2.083","33","UNK",11,69,0.075214731521739,0.624780483701456,0,0,0,0,5.189816475,5.189816475,7.94895574867772,62.086326402016,0.075214731521739
"PeakAreas_RTX2.21","34","NonOil",12,83,0.134269573614458,0.62140873304573,0,0,0,0,4.533998013,4.533998013,5.4029164799112,31.4736661040264,0.068208469733896
"PeakAreas_RTX2.22","35","Oil",12,134,0.075327519164179,0.589809678045324,0,0,0,0,6.307664394,6.307664394,9.254112296984,91.4728613490797,0.050951795796566
"PeakAreas_RTX2.23","36","UNK",12,69,0,0,0,0,0,0,0,0,NA,NA,0
"PeakAreas_RTX2.271","37","NonOil",13,83,0.617309759891567,2.02802444333249,0,0.038613707268657,0,0,12.46841812,12.46841812,3.72956092037024,14.9931959330703,0.222604602263394
"PeakAreas_RTX2.272","38","Oil",13,134,0.58926136811194,2.12754335134406,0,0.012068159046296,0,0,17.50560951,17.50560951,4.91451720643786,30.078584805138,0.183791752528168
"PeakAreas_RTX2.273","39","UNK",13,69,0.555049025492754,1.8383445920204,0,0,0,0,7.592404842,7.592404842,3.00786572765335,7.42674722255781,0.221310681975986
"PeakAreas_RTX2.381","40","NonOil",14,83,0.544403616192771,1.35979368078198,0,0.20671323519403,0,0,7.284350395,7.284350395,3.25064300055485,11.1845233944337,0.149256747109691
"PeakAreas_RTX2.382","41","Oil",14,134,0.475230864604478,1.59941627869633,0,0.031420158009259,0,0,10.66748905,10.66748905,3.92146348490536,16.3982580195162,0.138168522252659
"PeakAreas_RTX2.383","42","UNK",14,69,0.026219597768116,0.217796336496746,0,0,0,0,1.809152246,1.809152246,7.9489557486777,62.0863264020157,0.026219597768116
"PeakAreas_RTX2.471","43","NonOil",15,83,0.052965303493976,0.354083419741345,0,0,0,0,2.850233793,2.850233793,6.84008101599846,47.7364945550342,0.038865704542528
"PeakAreas_RTX2.472","44","Oil",15,134,0.027317532850746,0.316223304866854,0,0,0,0,3.660549402,3.660549402,11.3179657309747,127.04460904433,0.027317532850746
"PeakAreas_RTX2.473","45","UNK",15,69,0,0,0,0,0,0,0,0,NA,NA,0
"PeakAreas_RTX2.61","46","NonOil",16,83,0.208560387710843,1.34382354201066,0,0,0,0,11.42847919,11.42847919,7.3652377063328,56.6127242225209,0.147503796645525
"PeakAreas_RTX2.62","47","Oil",16,134,0.126306449298508,1.30740879072483,0,0,0,0,15.02942276,15.02942276,11.0709163767574,123.021466925336,0.112942917363469
"PeakAreas_RTX2.63","48","UNK",16,69,0.250001091913043,1.68673034093877,0,0,0,0,13.57448292,13.57448292,7.26262510471955,53.6847593639352,0.203058471019564
"PeakAreas_RTX2.671","49","NonOil",17,83,0.032607920192771,0.297072291070279,0,0,0,0,2.706457376,2.706457376,8.78378572110269,76.0718536797793,0.032607920192771
"PeakAreas_RTX2.672","50","Oil",17,134,0.131084595179105,1.13325922709742,0,0,0,0,11.85193539,11.85193539,9.14673399382172,86.7854409575111,0.09789868642882
"PeakAreas_RTX2.673","51","UNK",17,69,0.017059179318841,0.14170418601168,0,0,0,0,1.177083373,1.177083373,7.9489557486778,62.0863264020167,0.017059179318841
"PeakAreas_RTX2.81","52","NonOil",18,83,0.163121311072289,0.825630905716555,0,0,0,0,6.117254257,6.117254257,5.67955173422103,34.1526845691381,0.090624765390596
"PeakAreas_RTX2.82","53","Oil",18,134,0,0,0,0,0,0,0,0,NA,NA,0
"PeakAreas_RTX2.83","54","UNK",18,69,0,0,0,0,0,0,0,0,NA,NA,0
"PeakAreas_RTX2.921","55","NonOil",19,83,0.920124651361446,2.97345260940354,0,0.160700274940299,0,0,16.33135605,16.33135605,4.06876460273462,16.8192368457838,0.326378825285593
"PeakAreas_RTX2.922","56","Oil",19,134,0.443216271380597,1.45962233150288,0,0.064498786574074,0,0,10.5134058,10.5134058,4.58159814107279,24.6973010819348,0.126092164545879
"PeakAreas_RTX2.923","57","UNK",19,69,1.30931270466667,2.38950679352544,0,0.798099034701755,0,0,9.357896805,9.357896805,1.86113661058767,2.68560372990175,0.287662813792801
"PeakAreas_RTX2.971","58","NonOil",20,83,1.97460542810843,2.81385063045062,0.983853698,1.37227523150746,1.4586614926548,0,11.75779533,11.75779533,1.70312231400285,2.34202880331007,0.308860232172936
"PeakAreas_RTX2.972","59","Oil",20,134,2.23272358930597,2.6779126691608,1.6262196895,1.74742671627778,2.4110333116527,0,11.81353283,11.81353283,1.41364598876793,1.63554513662946,0.231336420135232
"PeakAreas_RTX2.973","60","UNK",20,69,1.2567116833913,1.88051831127768,0,0.935002293491228,0,0,6.558060169,6.558060169,1.25965347919344,0.330877223550209,0.226387801146573
"PeakAreas_RTX3.091","61","NonOil",21,83,1.57028294043373,2.54340338487178,0,1.05473146685075,0,0,10.9513979,10.9513979,1.5327076327949,1.46608276538481,0.279174790395725
"PeakAreas_RTX3.092","62","Oil",21,134,1.31037088961194,3.79834391015233,0,0.424367723092592,0,0,33.21033096,33.21033096,5.2909478671453,36.6790408743224,0.328126937347984
"PeakAreas_RTX3.093","63","UNK",21,69,1.22398604782609,3.28831325070442,0,0.501401352263158,0,0,22.76921082,22.76921082,4.50409821171875,24.7130716283729,0.39586639589929
"PeakAreas_RTX3.171","64","NonOil",22,83,1.2872810080241,7.6367659787213,0,0,0,0,67.58455637,67.58455637,7.95611520370081,65.551962883655,0.838243966368787
"PeakAreas_RTX3.172","65","Oil",22,134,0.514068100858208,2.78447454905105,0,0,0,0,29.9532572,29.9532572,9.01779302985953,90.6116288248074,0.24054196447601
"PeakAreas_RTX3.173","66","UNK",22,69,0.077621570536232,0.644773190093443,0,0,0,0,5.355888367,5.355888367,7.94895574867775,62.086326402016,0.077621570536232
"PeakAreas_RTX3.31","67","NonOil",23,83,72.3387848483735,44.8175498350075,62.03873062,67.4572777238806,37.275136429608,9.606116295,262.2828979,252.676781605,1.35105724672664,2.72662030843088,4.91936519219067
"PeakAreas_RTX3.32","68","Oil",23,134,64.0766559250746,40.718428926621,54.7063179,58.1648035046296,31.438705381902,12.78681159,264.2297668,251.44295521,1.93332190741131,5.35363847072854,3.51753650889866
"PeakAreas_RTX3.33","69","UNK",23,69,59.5048981467681,39.8165146630184,47.6554985,54.5292866014035,29.387832125946,9.028640747,232.1262817,223.097640953,1.62997226818596,3.67502358681858,4.79334508460951
"PeakAreas_RTX3.41","70","NonOil",24,83,0.018844295698795,0.171679704309628,0,0,0,0,1.564076543,1.564076543,8.78378572110269,76.0718536797793,0.018844295698795
"PeakAreas_RTX3.42","71","Oil",24,134,0.276129631888059,1.63764529099876,0,0,0,0,13.53674412,13.53674412,6.56258303960783,43.8908847367578,0.141471005919583
"PeakAreas_RTX3.43","72","UNK",24,69,0.324886329710145,2.17647725397722,0,0,0,0,17.95511728,17.95511728,7.70826510709593,59.4031385288917,0.262017070941821
"PeakAreas_RTX3.521","73","NonOil",25,83,3.74934747571084,2.66788818103593,3.548239231,3.50781063001493,2.0920405241652,0,13.06242085,13.06242085,0.967958840543753,1.46007590080188,0.29283877192665
"PeakAreas_RTX3.522","74","Oil",25,134,3.44868269334328,3.26464402289641,3.2472383975,3.08862413410185,2.5450487466012,0,25.13481712,25.13481712,2.42296559310831,12.8623798272511,0.282022289214312
"PeakAreas_RTX3.523","75","UNK",25,69,3.54589183437681,2.35017812718761,3.218709946,3.32796374115789,1.5778538579622,0,12.53137589,12.53137589,1.24544453291319,2.6060272910201,0.282928198744996
"PeakAreas_RTX3.641","76","NonOil",26,83,0.966841080060241,1.85555228804169,0,0.510088372552238,0,0,7.595468998,7.595468998,2.16258866352658,4.092477991775,0.203673323769073
"PeakAreas_RTX3.642","77","Oil",26,134,0.949537722022389,2.10195820667946,0,0.406442851925925,0,0,11.0000782,11.0000782,2.6835235578395,7.23828087586421,0.1815815326642
"PeakAreas_RTX3.643","78","UNK",26,69,0.844345165289855,2.37574611662956,0,0.29687997331579,0,0,15.08482742,15.08482742,4.07313081801052,18.8665189053877,0.286006222965653
"PeakAreas_RTX3.771","79","NonOil",27,83,34.4287623734458,31.2575169946955,25.97969627,29.1806569527761,21.812521466442,3.622805595,173.0996857,169.476880105,2.03011232787858,5.19248670045218,3.43095822203793
"PeakAreas_RTX3.772","80","Oil",27,134,37.5572534354403,32.1631500546745,28.98002434,32.3312744210278,24.428530492821,4.205471039,196.973114,192.767642961,2.17102759929145,6.472370506515,2.77847297994687
"PeakAreas_RTX3.773","81","UNK",27,69,29.6739102998841,31.1558646728244,18.79152107,23.0004735994912,14.8283626520862,4.75194931,146.0294342,141.27748489,2.36993265849375,5.43264726392811,3.75072534726275
"PeakAreas_RTX3.941","82","NonOil",28,83,1.01446298798795,3.45311731555376,0,0,0,0,17.34478378,17.34478378,3.47867600892336,11.3862130560653,0.379028866799344
"PeakAreas_RTX3.942","83","Oil",28,134,0.483413653567165,2.54878242085111,0,0,0,0,22.91514206,22.91514206,6.38460788561506,46.3695166846383,0.22018126570501
"PeakAreas_RTX3.943","84","UNK",28,69,0.819638478695653,4.04299488109246,0,0,0,0,25.11439133,25.11439133,5.09305023764529,25.3999824583511,0.486719387781714
"PeakAreas_RTX4.051","85","NonOil",29,83,2002.7632526247,1742.5953993285,1333.339478,1780.21237820746,1364.48291287812,73.87425995,7316.616699,7242.74243905,1.03419453561664,0.060619955197374,191.274694468732
"PeakAreas_RTX4.052","86","Oil",29,134,1806.30565293806,1506.60951862601,1376.8721925,1577.44935357222,1233.74648600931,124.6752014,6260.530273,6135.8550716,1.24428570549481,0.880715485002003,130.151239282134
"PeakAreas_RTX4.053","87","UNK",29,69,1479.59586677188,1761.17932721028,766.237793,1107.94851924386,703.15662214266,91.18286896,7456.308594,7365.12572504,1.94965015219641,3.04545215049554,212.02107574323
"PeakAreas_RTX4.211","88","NonOil",30,83,123.059234453928,112.264445388728,95.54878998,105.658678164925,76.99751526663,7.062376976,720.4328003,713.370423324,2.27259439981264,7.96355221382282,12.3226237712468
"PeakAreas_RTX4.212","89","Oil",30,134,94.1769518351791,85.9482902318502,63.380422595,78.4564198380556,50.657325841668,9.658060074,457.3925171,447.734457026,1.95608450798594,4.11216382316494,7.42480141639983
"PeakAreas_RTX4.213","90","UNK",30,69,87.2651678842899,87.2991304554407,62.59420013,73.0645331982456,54.58296608625,5.344662666,527.609375,522.264712334,2.39384020950611,7.90669244279222,10.5095802935241
"PeakAreas_RTX4.311","91","NonOil",31,83,0.293337913879518,1.73139145858747,0,0,0,0,14.03527832,14.03527832,6.64781441034185,46.8491520026164,0.190044902204324
"PeakAreas_RTX4.312","92","Oil",31,134,0.135336543201492,0.796856605368632,0,0,0,0,7.423836708,7.423836708,7.03085487766239,54.7117116869359,0.068837926109391
"PeakAreas_RTX4.313","93","UNK",31,69,0.14399232726087,1.19609010170225,0,0,0,0,9.935470581,9.935470581,7.94895574867772,62.0863264020161,0.14399232726087
"PeakAreas_RTX4.421","94","NonOil",32,83,16.278797449012,6.65910159209029,15.38392639,15.401040811,5.638550456868,7.265889645,41.63767624,34.371786595,1.30593052482999,1.94327354732547,0.73093135845196
"PeakAreas_RTX4.422","95","Oil",32,134,15.276344039,5.87383326323525,14.429164885,14.6372762780278,4.910587933881,6.134530067,44.1949234,38.060393333,1.7977827892937,5.49329162784835,0.507421909323846
"PeakAreas_RTX4.423","96","UNK",32,69,13.4885626943768,5.50650875688008,11.95597076,12.8465790748246,3.53985568587,6.355524063,30.71248245,24.356958387,1.15322532526216,0.566315189250273,0.662905754221267
"PeakAreas_RTX4.551","97","NonOil",33,83,37.7913262442169,30.3501252377395,27.63265419,33.1177138797612,20.73261509298,0,180.9264526,180.9264526,1.95161777148872,5.20533368147983,3.3313590373149
"PeakAreas_RTX4.552","98","Oil",33,134,36.4432702854552,25.0066160926249,31.511031155,32.9894137387037,20.064171769383,0,157.8897095,157.8897095,1.9080484995381,5.31687156329434,2.16024260730534
"PeakAreas_RTX4.553","99","UNK",33,69,32.768155898942,31.5744382332515,23.42699623,26.0310605584211,15.489496354416,0,141.5623169,141.5623169,2.12301665513268,3.87341604976793,3.8011156824139
"PeakAreas_RTX4.61","100","NonOil",34,83,18.7668521947229,15.402359334933,17.60496521,16.903014695403,10.159843057476,0,95.68495178,95.68495178,1.98981902314234,6.78583035413084,1.69062857449421
"PeakAreas_RTX4.62","101","Oil",34,134,15.7789781152239,12.9351390827863,13.74106264,14.3561249112963,11.1554361290862,0,74.78534033,74.78534033,1.34786516700591,3.10189176563136,1.11742582341225
"PeakAreas_RTX4.63","102","UNK",34,69,13.4642617908406,16.1567138076866,9.377071381,11.0818019708421,8.2911173777082,0,116.7677307,116.7677307,3.94450211360818,21.7496405371523,1.94503977480097
"PeakAreas_RTX4.661","103","NonOil",35,83,0,0,0,0,0,0,0,0,NA,NA,0
"PeakAreas_RTX4.662","104","Oil",35,134,0.471579950223881,2.43234925051456,0,0,0,0,15.22694492,15.22694492,5.00713148712285,23.8532817435354,0.210122971750602
"PeakAreas_RTX4.663","105","UNK",35,69,0.231823520434783,1.92567078682924,0,0,0,0,15.99582291,15.99582291,7.9489557486778,62.0863264020165,0.231823520434782
"PeakAreas_RTX4.721","106","NonOil",36,83,2.33760135001205,4.58319355444229,0,1.22346802434328,0,0,17.11079597,17.11079597,1.83277970930598,2.21608264601353,0.503070848892877
"PeakAreas_RTX4.722","107","Oil",36,134,2.04260177040298,5.3402800507952,0,0.707787889009259,0,0,34.07521057,34.07521057,3.6125402011108,15.1481222679361,0.4613299319644
"PeakAreas_RTX4.723","108","UNK",36,69,1.88145692097102,4.77544705708555,0,0.761840544245614,0,0,27.7330246,27.7330246,3.20183804402014,11.8588188420002,0.574896267833169
"PeakAreas_RTX4.831","109","NonOil",37,83,8.40440556443374,10.7396094131537,0,6.60363326743284,0,0,50.33660126,50.33660126,1.33089355945377,1.71963592352965,1.17882527981313
"PeakAreas_RTX4.832","110","Oil",37,134,10.4415943744254,11.4503865880396,9.310930253,8.63121196039815,13.8043851930978,0,56.25728607,56.25728607,1.33388721450968,2.137836853648,0.989162743410773
"PeakAreas_RTX4.833","111","UNK",37,69,6.72591592118841,10.9138222903287,0,4.70733890845614,0,0,50.96934509,50.96934509,2.10922746469193,5.11850456028829,1.31386980684771
"PeakAreas_RTX4.871","112","NonOil",38,83,34.767470865012,20.2603285002304,31.37951851,32.4254090891045,18.302619637932,5.245739937,107.298851,102.053111063,1.17839966766753,1.55789920301405,2.22385996497582
"PeakAreas_RTX4.872","113","Oil",38,134,28.7503165128209,16.1568792979476,26.549253465,27.2577006902778,14.320436817393,0,93.51678467,93.51678467,1.17310238728787,2.18187905708825,1.39574178814261
"PeakAreas_RTX4.873","114","UNK",38,69,29.230933237058,16.0640985272948,27.10427284,27.4492911617544,12.212404535226,6.73316431,92.24555969,85.51239538,1.70767329414585,4.28463407545553,1.93389020526224
"PeakAreas_RTX4.981","115","NonOil",39,83,32.0459509623012,13.4472209879359,30.34699821,31.1464872726866,13.348948200546,6.312831641,70.55741882,64.244587179,0.642545310922748,0.034286413385473,1.47602426065862
"PeakAreas_RTX4.982","116","Oil",39,134,33.3090906852612,11.5286216819078,32.59866905,32.5923063928704,11.055449537643,9.923113345,68.6632843,58.740170955,0.53404212620642,0.215610993952728,0.995921226147281
"PeakAreas_RTX4.983","117","UNK",39,69,29.6818670366667,11.4109574079475,27.71891975,28.6206237898246,9.331524904632,11.54794216,68.64093018,57.09298802,1.00837069162715,0.820911200910341,1.37371784208114
"PeakAreas_RTX5.061","118","NonOil",40,83,2.7008986473735,7.36295634080142,0,0.56136097838806,0,0,33.83686447,33.83686447,2.75167295692885,6.76307875143274,0.808189454084466
"PeakAreas_RTX5.062","119","Oil",40,134,1.03932577813433,5.09711481727414,0,0,0,0,32.09085083,32.09085083,5.20260546817006,26.4637293571314,0.440323655220604
"PeakAreas_RTX5.063","120","UNK",40,69,0.868148147188405,4.5057595869698,0,0,0,0,27.3950882,27.3950882,5.22838343732463,26.443117192577,0.542429711676742
"PeakAreas_RTX5.281","121","NonOil",41,83,23.0885170210843,11.9319016756276,21.54038048,21.8175113738806,10.520951933436,0,70.73686218,70.73686218,1.28060878283491,2.61692481156524,1.30969635769501
"PeakAreas_RTX5.282","122","Oil",41,134,23.0723835935075,10.1623918698222,21.63411522,21.8715115082407,8.462844382671,8.61357975,68.86264038,60.24906063,1.55640373261368,3.8639385824629,0.877896946472411
"PeakAreas_RTX5.283","123","UNK",41,69,21.2019106257391,11.2864879003816,18.99972725,19.7688192238596,8.470924219086,0,60.65682983,60.65682983,1.37981701153279,2.18025588802058,1.35873347422965
"PeakAreas_RTX5.441","124","NonOil",42,83,1.18165510244578,3.91015692623296,0,0.069416700895522,0,0,23.65979385,23.65979385,3.74855051025476,14.7869258314072,0.429195481451524
"PeakAreas_RTX5.442","125","Oil",42,134,0.604527081567164,3.02898387891895,0,0,0,0,31.15341759,31.15341759,8.02690963455964,74.9756836999046,0.261664353459303
"PeakAreas_RTX5.443","126","UNK",42,69,0.628256462550725,2.1655854508618,0,0.044323963035088,0,0,12.92768621,12.92768621,3.8879814500236,15.9673093775033,0.260705851932128
"PeakAreas_RTX5.531","127","NonOil",43,83,12.192004114253,8.82482134861446,13.11157227,11.7035810515373,8.8569265331904,0,35.22620773,35.22620773,0.291516487871693,-0.569454926069773,0.968649984871888
"PeakAreas_RTX5.532","128","Oil",43,134,10.9540785030746,7.6201863498438,12.288377285,10.8350463525185,7.568312483571,0,28.7678051,28.7678051,-0.165360223327263,-1.05213258840772,0.658283838467614
"PeakAreas_RTX5.533","129","UNK",43,69,11.2296187586812,6.83371793866124,11.4707222,11.1699357810351,6.1102488997746,0,31.53034782,31.53034782,0.11599173441855,-0.071288892933186,0.822682963793258
"PeakAreas_RTX5.561","130","NonOil",44,83,10.4200787002289,13.7172897670576,0,8.03716928267164,0,0,48.07290268,48.07290268,1.12667660467009,0.291392123590923,1.50566816034523
"PeakAreas_RTX5.562","131","Oil",44,134,8.43882547934329,11.7432010857249,0,6.47036501233333,0,0,47.477211,47.477211,1.13398387037233,0.286970936674408,1.01445806332105
"PeakAreas_RTX5.563","132","UNK",44,69,5.27316591033333,10.1601704016309,0,3.09379483952632,0,0,48.46600342,48.46600342,2.09648438281203,4.30023168820306,1.22314078129712
"PeakAreas_RTX5.721","133","NonOil",45,83,3.82295081987952,4.58740355336942,0,3.17778547835821,0,0,15.74198055,15.74198055,0.796289104451218,-0.581235546271279,0.50353295630967
"PeakAreas_RTX5.722","134","Oil",45,134,5.02727729891791,4.44406814085139,5.42574358,4.58395308475926,4.7267903210031,0,20.50244141,20.50244141,0.721005208432938,0.619164552253299,0.383909014801357
"PeakAreas_RTX5.723","135","UNK",45,69,5.28372235928985,4.19358719151233,5.288038731,4.94531735212281,3.1353688650102,0,22.69166994,22.69166994,1.02532181045305,2.65141184823729,0.504848571539767
"PeakAreas_RTX5.771","136","NonOil",46,83,5.68569037408434,6.30653317482186,4.767374516,4.69708207819403,7.0681094574216,0,26.08760452,26.08760452,1.1667910613514,0.973951904348097,0.692231947034754
"PeakAreas_RTX5.772","137","Oil",46,134,3.41283557311194,5.32992966221268,0,2.28458443839815,0,0,24.69881248,24.69881248,1.69516359390518,2.53107257770957,0.460435794575506
"PeakAreas_RTX5.773","138","UNK",46,69,3.24997713604348,5.79767507178071,0,2.12595602924561,0,0,33.15592575,33.15592575,2.51625842175664,8.50189963560507,0.697958059430419
"PeakAreas_RTX5.891","139","NonOil",47,83,6.9675739716506,5.43866758495193,6.731728077,6.47864139070149,4.1476033906986,0,24.4948082,24.4948082,0.647768077122755,0.269195475972838,0.596971322792165
"PeakAreas_RTX5.892","140","Oil",47,134,8.14350883806716,6.23497772869271,7.7704844475,7.59956014371296,4.828121904186,0,37.29470825,37.29470825,1.64817002441934,5.41586625528468,0.538620039402062
"PeakAreas_RTX5.893","141","UNK",47,69,8.70696393708696,6.06190441444757,7.981249332,8.19416343594737,4.036094782251,0,38.10960388,38.10960388,1.76561501398887,6.47452853294682,0.729767534257661
"PeakAreas_RTX61","142","NonOil",48,83,4.11731281774699,5.35458053064142,0,3.15187414556716,0,0,19.18759489,19.18759489,1.18043661703848,0.469787304829981,0.587741569501058
"PeakAreas_RTX62","143","Oil",48,134,1.97471838575373,4.3581876939948,0,0.927095779694443,0,0,25.09126854,25.09126854,2.46435182079162,6.66331016324729,0.376490074159934
"PeakAreas_RTX63","144","UNK",48,69,1.51398715089855,4.48092519492619,0,0.428457532035088,0,0,28.67868233,28.67868233,3.90358509187461,18.1302314816198,0.539440002204706
"PeakAreas_RTX6.11","145","NonOil",49,83,2.07959188907229,5.13493427747292,0,0.678297355999999,0,0,26.22239876,26.22239876,2.98197273728987,9.17289635831276,0.56363226106251
"PeakAreas_RTX6.12","146","Oil",49,134,1.00000243663433,2.53365805800882,0,0.284013954583334,0,0,11.44277763,11.44277763,2.50069767446912,5.27377974551153,0.218874719753361
"PeakAreas_RTX6.13","147","UNK",49,69,1.51745889492754,3.06820422586394,0,0.868293536333334,0,0,10.6976366,10.6976366,1.70713288516455,1.42960318121823,0.369368383171993
"PeakAreas_RTX6.181","148","NonOil",50,83,3.49591571440964,4.5212265855909,0,2.79246196814925,0,0,16.0623455,16.0623455,0.962068471003232,-0.261355067340767,0.4962690904131
"PeakAreas_RTX6.182","149","Oil",50,134,4.19741648895523,5.72777273192972,0,3.17024915092592,0,0,30.14622498,30.14622498,1.88795880430451,4.86026488997396,0.494804201201997
"PeakAreas_RTX6.183","150","UNK",50,69,4.57762321533333,6.13521553690518,3.417108297,3.45135314014035,5.0662047611322,0,27.85924721,27.85924721,1.84478110197248,3.83140754882595,0.738593156275395
"PeakAreas_RTX6.31","151","NonOil",51,83,4.27559069838554,8.74959243810415,0,2.04837741068657,0,0,35.36737823,35.36737823,2.07708571234362,3.30638817004778,0.960392539179892
"PeakAreas_RTX6.32","152","Oil",51,134,6.08931289235075,10.0046069162909,0,3.90185123134259,0,0,42.90663147,42.90663147,1.78601637062564,2.58364256990986,0.864266402533662
